LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSMOCHILA,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,MOCHILA,9,5728.51,2135
BOUTIQUE172 COSMOPOLROPACHAMARRA,BOUTIQUE,172 COSMOPOL,ROPA,CHAMARRA,53,26387.03,14572.74
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSPLANTILLA,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,PLANTILLA,49,2111.9,695.8
BOUTIQUE147 SAN COSMEROPASUDADERA,BOUTIQUE,147 SAN COSME,ROPA,SUDADERA,79,39148.97,18828
BOUTIQUE128 TEXCOCOROPACHAMARRA,BOUTIQUE,128 TEXCOCO,ROPA,CHAMARRA,14,6795.78,4175.81
BOUTIQUE128 TEXCOCOROPAPLAYERA,BOUTIQUE,128 TEXCOCO,ROPA,PLAYERA,44,11631.66,5450
BOUTIQUE151 SENDERO TOLUCAROPASUDADERA,BOUTIQUE,151 SENDERO TOLUCA,ROPA,SUDADERA,61,31983.6,14737.5
BOUTIQUE117 MIXCOACACCESORIOSPERFUME,BOUTIQUE,117 MIXCOAC,ACCESORIOS,PERFUME,130,13801.93,4550
BOUTIQUE153 GRAND PLAZA TOLUCAROPASUDADERA,BOUTIQUE,153 GRAND PLAZA TOLUCA,ROPA,SUDADERA,10,1737.94,2530
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSPERFUME,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,PERFUME,106,11096.73,3710
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSMOCHILA,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,MOCHILA,11,7168.93,2565
